"mCA","SinglemCA","plus1other","plus2ormore","s","s95CIlower","s95CIupper","mu","mu95CIlower","mu95CIupper"
"1=",64,6,1,11.52,10.9,12.53,0.66,0.42,0.86
"1p=",588,35,19,12.39,12.15,12.64,5.71,5.09,6.29
"1q=",432,22,10,11.49,11.24,11.73,5.25,4.56,5.91
"2=",12,1,0,7.84,6.84,45.41,1.01,0.02,3.1
"2p=",95,4,2,11.99,11.5,12.71,1.12,0.8,1.43
"2q=",139,8,3,11.12,10.71,11.63,2.21,1.64,2.77
"3p=",106,8,4,10.85,10.42,11.4,1.74,1.24,2.26
"3q=",92,7,3,10.81,10.29,11.43,1.75,1.2,2.33
"4=",19,7,1,12.61,11.15,45.87,0.17,0.04,0.28
"4p=",39,1,3,13.22,12.28,17.01,0.4,0.16,0.57
"4q=",161,13,1,15.18,14.3,16.95,0.94,0.68,1.13
"5p=",14,0,0,11.7,10.19,47.46,0.19,0.03,0.36
"5q=",109,3,2,12.48,11.93,13.21,1.05,0.77,1.31
"6p=",211,15,6,11.58,11.27,11.98,3.02,2.43,3.53
"6q=",55,4,10,11.31,10.62,12.36,1.01,0.6,1.41
"7p=",59,1,2,13.65,12.71,16.01,0.45,0.26,0.59
"7q=",95,10,4,11.68,11.14,12.37,1.34,0.95,1.72
"8p=",31,1,0,13.77,12.45,45.1,0.26,0.08,0.38
"8q=",84,4,2,12.08,11.56,12.87,1.22,0.8,1.62
"9=",59,4,5,9.44,8.82,10.29,1.31,0.77,1.89
"9p=",275,38,14,14.82,14.22,15.76,2.28,1.75,2.68
"9q=",286,17,7,12.86,12.48,13.28,2.7,2.25,3.05
"10p=",37,2,1,13.17,12.28,17.31,0.3,0.13,0.42
"10q=",74,9,4,12.17,11.56,13.11,0.96,0.63,1.25
"11=",15,2,0,10.05,8.76,42.98,0.28,0.03,0.55
"11p=",452,19,4,13.41,13.07,13.8,3.98,3.46,4.44
"11q=",346,28,9,12.52,12.21,12.88,3.59,3.06,4.1
"12=",9,1,2,6.39,5,47,2.47,0.02,17.89
"12p=",35,5,1,12.04,11.14,14.08,0.5,0.22,0.77
"12q=",186,8,4,12.43,12.04,12.96,1.8,1.44,2.13
"13q=",380,43,20,13.04,12.69,13.42,3.41,2.93,3.83
"14q=",636,44,24,12.43,12.19,12.66,5.98,5.31,6.56
"15q=",383,20,4,11.15,10.89,11.39,5.39,4.59,6.01
"16=",40,1,2,9.9,9.22,11.06,0.99,0.5,1.6
"16p=",222,13,10,12.09,11.73,12.46,2.95,2.35,3.42
"16q=",171,5,6,11.42,11.08,11.86,2.41,1.87,2.86
"17=",10,1,3,8.77,8,47,0.39,0.02,0.84
"17p=",84,8,6,13.16,12.52,14.46,0.91,0.58,1.17
"17q=",305,13,5,12.36,12.07,12.73,3.28,2.75,3.78
"18p=",14,0,0,10.05,8.76,44.73,0.62,0.03,1.78
"18q=",70,6,2,11.96,11.38,12.85,1.05,0.66,1.43
"19p=",139,2,6,11.36,10.98,11.84,2.45,1.81,3.05
"19q=",159,18,9,12.33,11.92,12.84,2.14,1.61,2.59
"20=",10,2,0,13.47,12.35,48.33,0.07,0.02,0.1
"20p=",38,1,0,11.75,10.96,13.41,0.75,0.35,1.14
"20q=",143,6,4,12.34,11.92,12.96,1.68,1.27,2.06
"21q=",131,6,1,11.61,11.22,12.14,2.24,1.64,2.77
"22q=",292,26,7,14.22,13.73,14.92,2.3,1.87,2.69
